ID_Transaksi,Tanggal,Nama_barang,Jumlah,Satuan
TRX-263,2026 - 6 - 11,Rokok ST Mas,1,Bungkus
TRX-263,2026 - 6 - 11,Kerupuk,1,Bungkus
TRX-263,2026 - 6 - 11,Kopi Kapal API,2,Bungkus
TRX-264,2026 - 6 - 11,Minyak Goreng Curah,0.5,Kg
TRX-265,2026 - 6 - 11,Tepung Terigu,1,Kg
TRX-265,2026 - 6 - 11,Minyak Goreng Curah,1.5,Kg
TRX-266,2026 - 6 - 11,Rokok ST Mas,1,Bungkus
TRX-267,2026 - 6 - 11,Minyak Goreng Curah,0.25,Kg
TRX-268,2026 - 6 - 11,Minyak Goreng Curah,0.25,Kg
TRX-269,2026 - 6 - 11,Indomie Goreng,2,Bungkus
TRX-270,2026 - 6 - 12,Kopi Kapal Api,1,Bungkus
TRX-271,2026 - 6 - 12,Rokok Garam Merah,1,Bungkus
TRX-272,2026 - 6 - 12,Rokok Jarum Cokelat,2,Bungkus
TRX-273,2026 - 6 - 12,Kopi Presco,2,Bungkus
TRX-274,2026 - 6 - 12,Tepung Terigu,2,Kg
TRX-274,2026 - 6 - 12,Minyak Goreng Curah,1,Kg
TRX-275,2026 - 6 - 12,Rokok ST Mas,1,Bungkus
TRX-276,2026 - 6 - 12,Sabun Sunlight,1,Bungkus
TRX-277,2026 - 6 - 12,Detergen Rinso,3,Bungkus
TRX-278,2026 - 6 - 12,Rokok GGM,3,Bungkus
TRX-279,2026 - 6 - 12,Tepung Terigu,1,Kg
TRX-279,2026 - 6 - 12,Pembalut,1,Bungkus
TRX-279,2026 - 6 - 12,Detergen Rinso,6,Bungkus
TRX-280,2026 - 6 - 13,Rokok Jarum Cokelat,0.5 ,Bungkus
TRX-281,2026 - 6 - 13,Tepung Terigu,2,Kg
TRX-281,2026 - 6 - 13,Minyak Goreng Curah ,1,Kg
TRX-282,2026 - 6 - 13,Tepung Terigu,0.25 ,Kg
TRX-282,2026 - 6 - 13,Detergen Rinso,3,Bungkus
TRX-282,2026 - 6 - 13,Sasa,1,Bungkus
TRX-282,2026 - 6 - 13,Pembalut,2,Bungkus
TRX-283,2026 - 6 - 13,Rokok Jarum Cokelat,2,Batang
TRX-284,2026 - 6 - 13,Rokok Jarum Cokelat,0.5,Bungkus
TRX-285,2026 - 6 - 14,Bawang Merah,0.5,Ons
TRX-285,2026 - 6 - 14,Tepung Terigu,1,Bungkus
TRX-286,2026 - 6 - 14,Terasi,2,Bungkus
TRX-287,2026 - 6 - 14,Minyak Goreng Curah,0.5,Kg
TRX-288,2026 - 6 - 14,Minyak Goreng Curah,0.25,Kg
TRX-289,2026 - 6 - 14,Minyak Goreng Curah,0.25,Kg
TRX-290,2026 - 6 - 14,Rokok Jarum Super,1,Bungkus
TRX-291,2026 - 6 - 14,Biskuit Roma,10,Bungkus
TRX-292,2026 - 6 - 14,Telur,0.5,Kg
